"May 14, 2017",1,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"May 14, 2017",2,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"May 14, 2017",3,Option B,Sheryl Sandberg & Adam Grant,Knopf,Jennifer Rudolph Walsh
"May 14, 2017",4,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"May 14, 2017",5,Make Your Bed,William H. McRaven,Grand Central Publishing,Kathy Robbins
"May 14, 2017",6,Killers of the Flower Moon,David Grann,Doubleday,Bridget Wagner Matzie
"May 14, 2017",7,Shattered,Jonathan Allen & Amie Parnes,Crown,Peter Steinberg
"May 14, 2017",8,You Are a Badass,Jen Sincero,Running Press,Christy Fletcher
"May 14, 2017",9,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Marc Gerald
"May 14, 2017",10,Upstairs at the White House,J. B. West & Mary Lynn Kotz,Open Road Media,Anthony Mattero
"May 14, 2017",11,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Neil Gudovitz
"May 14, 2017",12,The Last Season,Eric Blehm,HarperCollins e-books,Chris Ferebee
"May 14, 2017",13,The 5 Second Rule,Mel Robbins,Savio Republic,Jennifer Keene
"May 14, 2017",14,Democracy,Condoleezza Rice,Twelve,Betsy Lerner
"May 14, 2017",15,Bright Line Eating,Susan Peirce Thompson Ph.D.,Hay House,Mollie Glick
"May 14, 2017",16,Girling Up,Mayim Bialik,Philomel Books,Jennifer Rudolph Walsh
"May 14, 2017",17,The Life-Changing Magic of Tidying Up,Marie Kondō,Ten Speed Press,Tina Bennett
"May 14, 2017",18,Present Over Perfect,Shauna Niequist,Zondervan,Kathy Robbins
"May 14, 2017",19,Extreme Ownership,Jocko Willink & Leif Babin,St. Martin's Press,Bridget Wagner Matzie
"May 14, 2017",20,Sapiens,Yuval Noah Harari,Harper,Peter Steinberg
"May 21, 2017",1,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"May 21, 2017",2,The Better Angels of Our Nature,Steven Pinker,Penguin Books,John Brockman
"May 21, 2017",3,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"May 21, 2017",4,The Universe Has Your Back,Gabrielle Bernstein,"Hay House, Inc.",Michele Martin
"May 21, 2017",5,On Tyranny,Timothy Snyder,Tim Duggan Books,Tina Bennett
"May 21, 2017",6,The Vanishing American Adult,Ben Sasse,St. Martin's Griffin,Matt Latimer & Keith Urbahn
"May 21, 2017",7,Option B,Sheryl Sandberg & Adam Grant,Knopf,Jennifer Rudolph Walsh
"May 21, 2017",8,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
"May 21, 2017",9,You Are a Badass,Jen Sincero,Running Press,Peter Steinberg
"May 21, 2017",10,Fat for Fuel,Dr. Joseph Mercola,Hay House,Anna Sproul-Latimer
"May 21, 2017",11,Make Your Bed,William H. McRaven,Grand Central Publishing,Marc Gerald
"May 21, 2017",12,Smoke Gets in Your Eyes,Caitlin Doughty,W. W. Norton & Company,Kathy Robbins
"May 21, 2017",13,The 5 Second Rule,Mel Robbins,Savio Republic,James Bell
"May 21, 2017",14,Killers of the Flower Moon,David Grann,Doubleday,Steve Ross
"May 21, 2017",15,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Jan Miller
"May 21, 2017",16,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Jennifer Keene
